Project,Company,Year,Content_Type,Commitment,Broadcaster,Activity,Genre,Delivery Method,Round,Region,Program,Status,Language,Selection Round
Crazy Canuck Collections,ECG Productions Ltd.,2018 - 2019,Web Series,$6;380.00,N/A,Production,Documentary,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Crazy Canuck Collections,ECG Productions Ltd.,2018 - 2019,Web Series,$325;000.00,,Production,Documentary,Website,N/A,Toronto,Convergent Digital Media Incentive,Contracted,English,N/A
Mammouth II – MN,Attraction Images Productions X Inc.,2018 - 2019,Video,$37;519.00,N/A,Production,Children's & Youth,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Mammouth II – MN,Attraction Images Productions X Inc.,2018 - 2019,Video,$139;869.00,,Production,Children's & Youth,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
Mammouth II,Attraction Images Productions X Inc.,2018 - 2019,N/A,$87;380.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Sapiens (Les) II,Productions Pixcom Inc.,2019 - 2020,N/A,$239;968.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Sapiens (Les) II,Productions Pixcom Inc.,2018 - 2019,N/A,$605;462.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Sapiens (Les) II,Productions Pixcom Inc.,2018 - 2019,N/A,$614;484.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Taste the Diversity II: The Origins – DM,ECG Productions Ltd.,2018 - 2019,Web Series,$6;133.00,N/A,Production,Documentary,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Taste the Diversity II: The Origins – DM,ECG Productions Ltd.,2018 - 2019,Web Series,$320;000.00,,Production,Documentary,Website,N/A,Toronto,Convergent Digital Media Incentive,Contracted,English,N/A
Passe-Partout I – MN,Attraction Images Productions V Inc.,2018 - 2019,Game,$110;000.00,N/A,Production,Children's & Youth,Application,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Passe-Partout I – MN,Attraction Images Productions V Inc.,2018 - 2019,Game,$160;004.00,,Production,Children's & Youth,Application,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
Vie après (La) – MN,Productions KOTV IV INC.,2018 - 2019,Web Series,$63;385.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Vie après (La) – MN,Productions KOTV IV INC.,2018 - 2019,Web Series,$228;673.00,,Production,Documentary,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
Belle et Bum XVI,Datsit Studios Quinze Inc.,2018 - 2019,N/A,$319;566.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Life-Sized City (The) III,DBC2 Inc.,2018 - 2019,N/A,$258;930.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,English,N/A
Life-Sized City (The) III,DBC2 Inc.,2018 - 2019,N/A,$56;881.00,N/A,Production,Documentary,N/A,N/A,Montreal,Anglophone Minority Incentive,Contracted,English,N/A
Léo – MN,Encore Télévision - Léo Inc.,2018 - 2019,Rich Interactive Media,$150;191.00,,Production,Drama,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
LAgent Jean II – MN,Happy Camper Média (Animation) inc.,2018 - 2019,Video,$5;000.00,N/A,Production,Children's & Youth,Streaming,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
LAgent Jean II – MN,Happy Camper Média (Animation) inc.,2018 - 2019,Video,$6;227.00,N/A,Production,Children's & Youth,Streaming,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
L’Agent Jean II – MN,Happy Camper Média (Animation) inc.,2018 - 2019,Video,$118;531.00,,Production,Children's & Youth,Streaming,N/A,Quebec,Convergent Digital Media Incentive,Contracted,French,N/A
We Are Here,9328-8132 Québec inc.,2018 - 2019,N/A,$18;353.00,N/A,Production,Documentary,N/A,N/A,Montreal,Anglophone Minority Incentive,Contracted,English,N/A
Chalet V (Le) – MN,Les Productions Passez Go Inc.,2018 - 2019,Rich Interactive Media,$29;653.00,N/A,Production,Children's & Youth,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Chalet V (Le) – MN,Les Productions Passez Go Inc.,2018 - 2019,Rich Interactive Media,$118;170.00,,Production,Children's & Youth,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
Making the Goods DM,Blue Ant Media Productions Inc.,2018 - 2019,Web Series,$468;735.00,,Production,Documentary,Website,N/A,Toronto,Convergent Digital Media Incentive,Contracted,English,N/A
Word! I,Bing Productions Inc.,2018 - 2019,N/A,$237;701.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,English,N/A
Word! I,Bing Productions Inc.,2018 - 2019,N/A,$53;700.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Anglophone Minority Incentive,Contracted,English,N/A
Where Sea and Land Meet aka OSM ICA Tour,Max Films OSM Inc.,2018 - 2019,N/A,$25;000.00,N/A,Production,Documentary,N/A,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
Where Sea and Land Meet aka OSM ICA Tour,Max Films OSM Inc.,2018 - 2019,N/A,$85;119.00,N/A,Production,Documentary,N/A,N/A,Montreal,Anglophone Minority Incentive,Contracted,English,N/A
Heure bleue (L’) III – MN,Productions de l'Ardoise III Inc.,2018 - 2019,Rich Interactive Media,$165;560.00,,Production,Drama,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
IMPACT Digital Media Project,Anthem Media Productions Inc.,2018 - 2019,Rich Interactive Media,$100;000.00,N/A,Production,Documentary,Application,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
IMPACT Digital Media Project,Anthem Media Productions Inc.,2018 - 2019,Rich Interactive Media,$385;775.00,,Production,Documentary,Application,N/A,Toronto,Convergent Digital Media Incentive,Contracted,English,N/A
À fond de train III,Blimp Télé Inc.,2018 - 2019,N/A,$186;807.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Fan Culture of Film II – DM,Hollywood Suite,2018 - 2019,Rich Interactive Media,$125;000.00,N/A,Production,Documentary,Application,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Fan Culture of Film II – DM,Hollywood Suite Inc.,2018 - 2019,Rich Interactive Media,$246;250.00,,Production,Documentary,Application,N/A,Toronto,Convergent Digital Media Incentive,Contracted,English,N/A
Autre histoire (Une) I – MN,Sphère Média 2011 Inc.,2018 - 2019,Rich Interactive Media,$17;529.00,N/A,Production,Drama,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Autre histoire (Une) I – MN,Sphère Média 2011 Inc.,2018 - 2019,Rich Interactive Media,$84;213.00,,Production,Drama,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
Year in Film (A),Sruki Films Inc.,2018 - 2019,N/A,$100;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Fanny – The Right to Rock,Productions Adobe International Inc.,2018 - 2019,N/A,$20;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Fanny – The Right to Rock,Productions Adobe International Inc.,2018 - 2019,N/A,$25;714.00,N/A,Production,Documentary,N/A,N/A,Montreal,Anglophone Minority Incentive,Contracted,English,N/A
Justice Dawning,Productions Adobe International Inc.,2018 - 2019,N/A,$10;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,English,N/A
Justice Dawning,Productions Adobe International Inc.,2018 - 2019,N/A,$24;504.00,N/A,Production,Documentary,N/A,N/A,Montreal,Anglophone Minority Incentive,Contracted,English,N/A
Tia’s Real Life Stories – DM,Leif Films Media Inc.,2018 - 2019,Rich Interactive Media,$50;000.00,N/A,Production,Drama,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Tia’s Real Life Stories – DM,Leif Films Media Inc.,2018 - 2019,Rich Interactive Media,$500;000.00,,Production,Drama,Website,N/A,Toronto,Convergent Digital Media Incentive,Contracted,English,N/A
The Swan (prev. Dancing Through the Shadow of Mao),DANCING THROUGH THE SHADOW INC.,2019 - 2020,N/A,$1;355;306.00,N/A,Production,Drama,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Dancing Through the Shadow of Mao,DANCING TROUGH THE SHADOW INC.,2018 - 2019,N/A,$820;000.00,N/A,Production,Drama,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Inside Lehman Brothers,Intuitive Pictures Productions Inc.,2018 - 2019,N/A,$23;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Inside Lehman Brothers,Intuitive Pictures Productions Inc.,2018 - 2019,N/A,$24;302.00,N/A,Production,Documentary,N/A,N/A,Montreal,Anglophone Minority Incentive,Contracted,English,N/A
Canadian Country Music Association Awards 2018,Notable Productions Inc.,2018 - 2019,N/A,$20;000.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Ontario,Performance Envelopes,Contracted,English,N/A
Rising Hidden Stars,New Tang Dynasty Productions Inc.,2018 - 2019,Social Media,$10;000.00,N/A,Production,Drama,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Rising Hidden Stars,New Tang Dynasty Productions Inc.,2018 - 2019,Social Media,$490;000.00,,Production,Drama,Website,N/A,Toronto,Convergent Digital Media Incentive,Contracted,English,N/A
Tastes of Canada II: Origins,ECG Productions Ltd.,2018 - 2019,N/A,$93;800.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Sounds of Canada III: Off-screen,ECG Productions Ltd.,2018 - 2019,N/A,$93;600.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Whimsical World of Collectors (The),ECG Productions Ltd.,2018 - 2019,N/A,$76;925.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Rising Suns Webisodes 10-15,2577083 Ontario Inc.,2018 - 2019,Rich Interactive Media,$428;215.00,N/A,Production,Drama,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Rising Suns; the movie (II),2577083 Ontario Inc.,2018 - 2019,N/A,$387;999.00,N/A,Production,Drama,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Alix et les merveilleux I,Les Productions Avanti Ciné Vidéo Inc.,2018 - 2019,N/A,$468;492.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Alix et les merveilleux I,Les Productions Avanti Ciné Vidéo Inc.,2018 - 2019,N/A,$632;711.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Appelle-moi si tu meurs,Zone3-IX Inc.,2018 - 2019,N/A,$50;000.00,N/A,Production,Drama,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Faits divers II – MN,Sovitel Inc.,2018 - 2019,Rich Interactive Media,$35;000.00,N/A,Production,Drama,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Whisper the Truth II – DM,MSJ Productions Inc,2018 - 2019,Web Series,$509;875.00,N/A,Production,Drama,Website,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
Whisper the Truth II – DM,MSJ Productions Inc,2018 - 2019,Web Series,$489;875.00,,Production,Drama,Website,N/A,British Columbia,Convergent Digital Media Incentive,Contracted,English,N/A
O’ VIII,Sovimed Inc.,2018 - 2019,N/A,$1;800;000.00,N/A,Production,Drama,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
This Hour Has 22 Minutes XXVI – DM,DHX-Hour Productions (NS) XXVI Inc.,2018 - 2019,Video,$462;108.00,N/A,Production,Drama,Website,N/A,Nova Scotia,Performance Envelopes,Contracted,English,N/A
Bill Bestiole et les supers pouvoirs des insectes – MN,8687188 Canada Inc.,2018 - 2019,Game,$7;844.00,N/A,Production,Children's & Youth,Website,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
Bill Bestiole et les supers pouvoirs des insectes – MN,8687188 Canada Inc.,2018 - 2019,Game,$90;357.00,,Production,Children's & Youth,Website,N/A,Quebec,Convergent Digital Media Incentive,Contracted,French,N/A
Tidoc I,GALA PRODUCTIONS INC.,2018 - 2019,N/A,$70;000.00,N/A,Production,Children's & Youth,N/A,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
#relationshipgoals I,Hungry Eyes Media Inc.,2018 - 2019,N/A,$56;374.00,N/A,Development,Drama,N/A,N/A,Toronto,Development Envelopes,Contracted,English,N/A
Whisper the Truth II,MSJ Productions Inc,2018 - 2019,N/A,$129;338.00,N/A,Production,Drama,N/A,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
Whisper the Truth II,MSJ Productions Inc,2018 - 2019,N/A,$37;997.00,N/A,Production,Drama,N/A,N/A,British Columbia,English Regional Production Bonus,Contracted,English,N/A
Corner Gas Animated II,Prairie Pantoons II Productions Inc.,2018 - 2019,N/A,$2;720;925.00,N/A,Production,Drama,N/A,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
Corner Gas Animated II,Prairie Pantoons II Productions Inc.,2018 - 2019,N/A,$346;905.00,N/A,Production,Drama,N/A,N/A,British Columbia,English Regional Production Bonus,Contracted,English,N/A
District 31 III – MN,Aetios Web Inc.,2018 - 2019,Rich Interactive Media,$50;141.00,N/A,Production,Drama,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
District 31 III – MN,Aetios Web Inc.,2018 - 2019,Rich Interactive Media,$94;739.00,,Production,Drama,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
Unite 9 VII – MN,Aetios Web Inc.,2018 - 2019,Rich Interactive Media,$50;140.00,N/A,Production,Drama,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Unite 9 VII – MN,Aetios Web Inc.,2018 - 2019,Rich Interactive Media,$94;739.00,,Production,Drama,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
Pot inc. I,Télévision illimitée II inc.,2018 - 2019,N/A,$50;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Odyssée sous les glaces – MN,Galafilm Productions (Under Thin Ice) Inc.,2018 - 2019,eBook,$9;768.00,N/A,Production,Documentary,Application,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Odyssée sous les glaces – MN,Galafilm Productions (Under Thin Ice) Inc.,2018 - 2019,eBook,$52;261.00,,Production,Documentary,Application,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
FIN – Ce qui reste de Mario,AD HOC Films bis Inc.,2018 - 2019,N/A,$55;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Rupture IV – MN,Aetios Web Inc.,2018 - 2019,Rich Interactive Media,$35;000.00,N/A,Production,Drama,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Cheval-Serpent II – MN,Aetios Web Inc.,2018 - 2019,Rich Interactive Media,$28;000.00,N/A,Production,Drama,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Bernie Langille Wants To Know…Who Killed Bernie Langille,Peep Media Inc.,2018 - 2019,N/A,$5;130.00,N/A,Development,Documentary,N/A,N/A,Nova Scotia,Development Envelopes,Contracted,English,N/A
Detectives (The) II – MN,Canadian Detective II Productions Inc.,2018 - 2019,Rich Interactive Media,$75;000.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,English,N/A
Ma maison; mon cauchemar – MN,Zone3-XV Inc.,2018 - 2019,Video,$37;500.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Indigenous Faces,Really Good Stories Incorporated,2018 - 2019,N/A,$16;688.00,N/A,Development,Documentary,N/A,N/A,British Columbia,Development Envelopes,Contracted,English,N/A
Ambulances animales II,Productions Hyperzoom 2 Inc.,2018 - 2019,N/A,$189;862.00,N/A,Production,Documentary,N/A,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
Infractions I,Productions Hyperzoom Inc.,2018 - 2019,N/A,$50;000.00,N/A,Production,Documentary,N/A,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
Making the Goods…with Wood,Blue Ant HDTV Productions Inc.,2018 - 2019,N/A,$1;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Prédateurs,Les Films Flow Inc,2018 - 2019,N/A,$72;976.00,N/A,Production,Documentary,N/A,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
Human+; le futur de nos sens,Idéacom International Inc.,2018 - 2019,N/A,$100;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,English,N/A
Delicious Bites of Toronto DM,IHOME STUDIOS INC.,2018 - 2019,Video,$497;000.00,N/A,Production,Documentary,Website,N/A,Ontario,Performance Envelopes,Contracted,English,N/A
Infoman XIX – MN,Zone3-XV Inc.,2018 - 2019,Social Media,$35;000.00,N/A,Production,Variety & Performing Arts,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
5e Rang I – MN,Production MM Saison 1 Inc.,2018 - 2019,Rich Interactive Media,$7;550.00,N/A,Production,Drama,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
5e Rang I – MN,Production MM Saison 1 Inc.,2018 - 2019,Rich Interactive Media,$84;213.00,,Production,Drama,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
Ernest Cormier : la tour du savoir et de l’amour,Les Films Perception Inc.,2018 - 2019,N/A,$40;375.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Max et Livia: Vie d’colocs II – MN,Productions Pixcom Inc.,2018 - 2019,Video,$39;060.00,N/A,Production,Drama,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
TDAH Réussir autrement,7043597 Canada Inc.,2018 - 2019,N/A,$70;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,Performance Envelopes,Contracted,French,N/A
Heure est grave (L’) I,Toast Media Inc.,2018 - 2019,N/A,$117;000.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
En marge du monde,Océan Télévision IV inc.,2018 - 2019,N/A,$147;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Up in the Air,Beachwood Canyon Development Inc.,2018 - 2019,N/A,$22;196.00,N/A,Development,Children's & Youth,N/A,N/A,Toronto,Development Envelopes,Contracted,English,N/A
Sense and Sentimentality,Sondhi Productions Inc.,2018 - 2019,N/A,$8;750.00,N/A,Development,Documentary,N/A,N/A,Toronto,Development Envelopes,Contracted,English,N/A
Les dieux de la danse IV – MN,Attraction Images Productions X Inc.,2018 - 2019,Video,$17;000.00,N/A,Production,Variety & Performing Arts,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Food Is Medicine,2642628 ONTARIO INC.,2018 - 2019,N/A,$145;600.00,N/A,Production,Documentary,N/A,N/A,Ontario,Performance Envelopes,Contracted,English,N/A
Spirit to Soar (The),Antica Productions Ltd.,2018 - 2019,N/A,$10;000.00,N/A,Development,Documentary,N/A,N/A,Toronto,Development Envelopes,Contracted,English,N/A
Boulay: le parcours d’un battant,Zone3-XVI Inc.,2018 - 2019,N/A,$52;850.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
First Animals (The),Red Trillium Films Inc.,2018 - 2019,N/A,$218;819.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Mets-y le Paquet II,Entourage Télévision Inc.,2018 - 2019,N/A,$77;047.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
